time,open,high,low,close,Volume,K,D
-2861256838,3.94,3.94,3.94,3.94,0,100,99.76447800495271
-2855986438,4.04,4.04,4.04,4.04,0,100,99.88223900247635
-2853308038,4.07,4.07,4.07,4.07,0,100,100
-2850629638,4.22,4.22,4.22,4.22,0,100,100
-2848037638,4.68,4.68,4.68,4.68,0,100,100
-2842767238,4.92,4.92,4.92,4.92,0,100,100
-2840088838,5.11,5.11,5.11,5.11,0,100,100
-2834904838,5.3,5.3,5.3,5.3,0,100,100
-2832226438,5.18,5.18,5.18,5.18,0,95.68148142841032,98.56049380947009
-2826956038,4.79,4.79,4.79,4.79,0,79.25229177822156,91.64459106887728
-2824364038,5.01,5.01,5.01,5.01,0,65.82381820930654,80.25253047197947
-2819007238,5.18,5.18,5.18,5.18,0,57.28778186953945,67.45463061902251
-2816415238,5.33,5.33,5.33,5.33,0,60.10774102863056,61.07311370249217
-2813736838,5.61,5.61,5.61,5.61,0,61.822563922878636,59.73936227368287
-2811144838,5.84,5.84,5.84,5.84,0,65.3938536196787,62.44138619039595
-2805788038,6.17,6.17,6.17,6.17,0,74.5139892267489,67.24346892310207
-2803368838,6.24,6.24,6.24,6.24,0,82.72165478538447,74.20983254393734
-2800690438,6.22,6.22,6.22,6.22,0,87.25271627497153,81.49612009570161
-2795420038,6.58,6.58,6.58,6.58,0,91.74181115899894,87.23872740645163
-2792828038,6.35,6.35,6.35,6.35,0,82.01652380585442,87.00368374660827
-2790149638,6.2,6.2,6.2,6.2,0,65.56491625658067,79.77441707381134
-2787471238,6.25,6.25,6.25,6.25,0,45.42227929235193,64.33457311826233
-2782200838,6.19,6.19,6.19,6.19,0,35.16189760120817,48.716364383380245
-2779608838,6.01,6.01,6.01,6.01,0,23.032375542118242,34.538850811892765
-2774252038,5.79,5.79,5.79,5.79,0,9.84167917301365,22.678650772113333
-2771832838,5.78,5.78,5.78,5.78,0,-1.4210854715202004e-14,10.958018238377276
-2766562438,5.71,5.71,5.71,5.71,0,-1.4210854715202004e-14,3.280559724337857
-2763884038,5.68,5.68,5.68,5.68,0,-1.4210854715202004e-14,-3.138230416273776e-14
-2758613638,6.18,6.18,6.18,6.18,0,11.363026052529863,3.787675350843261
-2755935238,6.24,6.24,6.24,6.24,0,23.85349140693206,11.738839153153952
-2750664838,5.81,5.81,5.81,5.81,0,23.85349140693206,19.690002955464646
-2748072838,5.84,5.84,5.84,5.84,0,13.161241070194762,20.289407961352946
-2745394438,5.81,5.81,5.81,5.81,0,0.6707757157925632,12.561836064306446
-2742716038,5.68,5.68,5.68,5.68,0,0.6707757157925608,4.834264167259943
-2740296838,5.75,5.75,5.75,5.75,0,2.604372749953234,1.315308060512786
-2735026438,5.77,5.77,5.77,5.77,0,6.311906352550974,3.195684939432256
-2732348038,5.82,5.82,5.82,5.82,0,13.866543025895046,7.594274042799751
-2727077638,5.47,5.47,5.47,5.47,0,11.262170275941799,10.480206551462606
-2721807238,5.38,5.38,5.38,5.38,0,7.554636673344057,10.894449991726967
-2719128838,5.46,5.46,5.46,5.46,0,3.3932893589105793,7.403365436065478
-2713858200,5.18,5.18,5.18,5.18,0,3.39328935891058,4.780405130388405
-2711179800,5.32,5.32,5.32,5.32,0,8.487824091565061,5.0914676031287405
-2705995800,5.06,5.06,5.06,5.06,0,5.094534732654465,5.658549394376702
-2703403800,4.65,4.65,4.65,4.65,0,5.094534732654465,6.225631185624664
-2698133400,4.46,4.46,4.46,4.46,0,-1.5395092608135503e-14,3.396356488436305
-2695455000,4.74,4.74,4.74,4.74,0,10.191699208582328,5.0954113137455925
-2692776600,4.59,4.59,4.59,4.59,0,17.437157834700788,9.2096190144277
-2690184600,4.44,4.44,4.44,4.44,0,21.874019377125297,16.500958806802803
-2684914200,4.34,4.34,4.34,4.34,0,14.300523084473426,17.870566765433168
-2682235800,4.24,4.24,4.24,4.24,0,7.8743946327811,14.682979031459938
-2674459800,4.37,4.37,4.37,4.37,0,12.772247683528837,11.649055133594453
-2671867800,4.32,4.32,4.32,4.32,0,17.88028504180662,12.842309119372183
-2669189400,4.3,4.3,4.3,4.3,0,24.116523124075798,18.256351949803747
-2666597400,4.46,4.46,4.46,4.46,0,35.07303304935477,25.689947071745724
-2661240600,4.65,4.65,4.65,4.65,0,60.68012610847985,39.956560760636805
-2658648600,4.92,4.92,4.92,4.92,0,86.95789118511789,60.90368344765083
-2653378200,5.2,5.2,5.2,5.2,0,100,82.54600576453258
-2650699800,5.2,5.2,5.2,5.2,0,100,95.6526303950393
-2648021400,5.3,5.3,5.3,5.3,0,100,100
-2645602200,5.19,5.19,5.19,5.19,0,96.35609810729544,98.78536603576515
-2642923800,5.12,5.12,5.12,5.12,0,90.42826332756137,95.59478714495226
-2637653400,5.25,5.25,5.25,5.25,0,88.0862472286118,91.6235362211562
-2635061400,5.33,5.33,5.33,5.33,0,91.51848702829363,90.01099919482228
-2629704600,5.51,5.51,5.51,5.51,0,97.44632180802768,92.35035202164438
-2627112600,5.65,5.65,5.65,5.65,0,99.78833790697725,96.25104891443287
-2624434200,5.79,5.79,5.79,5.79,0,100,99.07821990500166
-2621842200,5.64,5.64,5.64,5.64,0,94.15140217863024,97.97991336186918
-2616485400,5.54,5.54,5.54,5.54,0,82.37850794348857,92.17663670737295
-2614066200,5.67,5.67,5.67,5.67,0,71.3397231439035,82.62321108867413
-2611387800,5.8,5.8,5.8,5.8,0,70.07052382547357,74.59625163762189
-2606117400,5.73,5.73,5.73,5.73,0,68.86964474097587,70.09329723678432
-2603525400,5.59,5.59,5.59,5.59,0,55.70696443235198,64.88237766626715
-2600847000,5.45,5.45,5.45,5.45,0,29.491428238818326,51.3560124707154
-2598168600,5.38,5.38,5.38,5.38,0,9.131868225124348,31.44342029876489
-2592898200,5.3,5.3,5.3,5.3,0,-2.6053233644537006e-14,12.874432154647556
-2590306200,5.27,5.27,5.27,5.27,0,-2.6053233644537006e-14,3.043956075041439
-2584949400,5.28,5.28,5.28,5.28,0,0.5734670012012423,0.19115566706706336
-2582443800,5.08,5.08,5.08,5.08,0,0.5734670012012423,0.38231133413415286
-2577173400,5.17,5.17,5.17,5.17,0,4.854139205567162,2.0003577359898825
-2574495000,5.01,5.01,5.01,5.01,0,4.280672204365895,3.236092803711433
-2569224600,5.25,5.25,5.25,5.25,0,15.65168835347476,8.262166587802605
-2563954200,5.35,5.35,5.35,5.35,0,26.90603118878064,15.612797248873767
-2561275800,5.24,5.24,5.24,5.24,0,37.73789979980722,26.765206447354206
-2556005400,5.24,5.24,5.24,5.24,0,38.45771389507393,34.3672149612206
-2553327000,5.3,5.3,5.3,5.3,0,42.547380383459476,39.58099802611354
-2550907800,5.19,5.19,5.19,5.19,0,48.399072132310096,43.134722136947836
-2548229400,5.18,5.18,5.18,5.18,0,53.65241442632176,48.19962231403045
-2545637400,5.32,5.32,5.32,5.32,0,66.73631633455484,56.262600964395574
-2540367000,5.3,5.3,5.3,5.3,0,80.50068185982985,66.9631375402355
-2537688600,5.37,5.37,5.37,5.37,0,96.48984265477596,81.24228028305356
-2532418200,5.4,5.4,5.4,5.4,0,97.11459255181886,91.36837235547489
-2529739800,5.35,5.35,5.35,5.35,0,94.66113778324352,96.08852432994611
-2524469400,5.38,5.38,5.38,5.38,0,92.26026381393626,94.67866471633289
-2516693400,5.39,5.39,5.39,5.39,0,89.88255203304821,92.26798454340934
-2514101400,5.62,5.62,5.62,5.62,0,95.22141424980468,92.45474336559637
-2508831000,5.54,5.54,5.54,5.54,0,89.1915342420097,91.43183350828754
-2506152600,5.41,5.41,5.41,5.41,0,70.69259933655717,85.03518260945718
-2503474200,5.32,5.32,5.32,5.32,0,42.037749678833144,67.30729441913334
-2500882200,5.08,5.08,5.08,5.08,0,17.13517032260205,43.28850644599746
-2495611800,4.6,4.6,4.6,4.6,0,4.6784836756093,21.283801225681515
-2492933400,4.84,4.84,4.84,4.84,0,8.979697375757757,10.26445045798972
-2485157400,4.97,4.97,4.97,4.97,0,22.23856498067354,11.965582010680217
-2482565400,4.95,4.95,4.95,4.95,0,35.0067035995098,22.07498865198038
-2479887000,4.85,4.85,4.85,4.85,0,36.328732677502025,31.191333752561803
-2477295000,4.77,4.77,4.77,4.77,0,31.45859848318838,34.264678253400085
-2471938200,5.33,5.33,5.33,5.33,0,43.60812305608664,37.13181807225903
-2469346200,5.33,5.33,5.33,5.33,0,58.224059794071174,44.43026044444875
-2464075800,5.41,5.41,5.41,5.41,0,76.7012954892135,59.51115944645713
-2461397400,5.51,5.51,5.51,5.51,0,85.10487861235892,73.34341129854789
-2458719000,5.52,5.52,5.52,5.52,0,93.52054875395771,85.10890761851006
-2456213400,5.58,5.58,5.58,5.58,0,99.98791298154659,92.87111344928776
-2453535000,5.57,5.57,5.57,5.57,0,99.58350255671193,97.69732143073877
-2448264600,5.54,5.54,5.54,5.54,0,97.85617647976558,99.14253067267471
-2445672600,5.54,5.54,5.54,5.54,0,95.48777194860288,97.64248366169348
-2442994200,5.62,5.62,5.62,5.62,0,95.90426939189096,96.41607260675316
-2440315800,5.48,5.48,5.48,5.48,0,88.87965644125445,93.42389926058279
-2435045400,5.57,5.57,5.57,5.57,0,86.70439889753165,90.49610824355904
